,VESSEL_NAME,VESSEL_NO,DIRECTION,NUM_BARGES,ARRIVAL_DATE,SOL_DATE,END_OF_LOCKAGE,TIMEZONE,DELAY_MINS,SEQ_NO
0,CAJUN HUSTLER (TOW),0527969,U,0,2023-10-25 07:10:00,,,CST,27,0L
1,SAFETY PRIDE(70X24),1195365,D,1,2023-10-25 06:47:00,,,CST,50,1B
2,JACKSON MCKINNEY (TOW 1981) ,0630902,U,1,2023-10-25 06:42:00,,,CST,55,SB
3,COE LAFOURCHE (FED GOV),LAFOURC,U,0,2023-10-25 06:33:00,,,CST,64,0L
4,CAPT ANDY LAKE (TOW),1239502,U,2,2023-10-25 06:32:00,,,CST,65,5
5,CITATION (TOW),1217083,U,6,2023-10-25 06:30:00,,,CST,67,5
6,CHRISTIE LEE (TOW 2015) 84X32,1259956,U,2,2023-10-25 06:11:00,,,CST,86,4
7,HOUSTON FORET (TOW 1981) 57X24,0633661,D,1,2023-10-25 04:45:00,,,CST,172,18
8,DAVID O (TOW),0637538,U,1,2023-10-25 02:40:00,,,CST,297,SB
9,SOUTHERN BELLE  (TOW),0516701,D,6,2023-10-24 21:49:00,,,CST,588,17
10,INTRA RECOIL(TOW),0533346,D,2,2023-10-24 21:34:00,,,CST,603,16
11,DRUM BAY,1238759,D,2,2023-10-24 21:04:00,,,CST,633,15
12,JANE MERRICK,1251402,D,3,2023-10-24 16:13:00,,,CST,924,14
13,FORKED ISLAND,1259044,D,2,2023-10-24 15:17:00,,,CST,980,13
14,LILLIANNE D,1301272,D,2,2023-10-24 11:36:00,,,CST,1201,12
15,BOO SONIER (TOW 2012),1238039,D,2,2023-10-24 11:14:00,,,CST,1223,11
16,AMAZING GRACE (TOW 1958),0277588,D,6,2023-10-24 09:12:00,,,CST,1345,10
17,MAC ANDREW MCKINNEY (TOW),1234978,D,6,2023-10-24 08:24:00,,,CST,1393,6
18,BLESSED TRINITY (TOW),1216547,U,0,2023-10-24 07:29:00,,,CST,1448,3
19,SETH D (TOW 1981) 61X26,0634990,U,6,2023-10-24 07:20:00,,,CST,1457,1
20,GEORGE W BANTA (TOW),0266928,U,5,2023-10-24 07:19:00,,,CST,1458,2
